#Country	Area1to10	Area11to20	Area21to30	Area31to40	Area41to50	Area51to60	Area61to70	Area71to80	Area81to90	Area91to100	Area101to110	Area111to120	Area121to130	Area131to140	Area141to150	Areaover150
16	8.68070378	8.68070379	4.59459047	4.59459047	6.20464109	6.20464109	4.59459047	4.59459047	4.59459047	4.59459047	8.31173385	8.31173385	4.59459047	4.59459047	5.36058425	11.48853449
17	8.80057202	7.49847758	11.67783135	11.67783135	9.08932442	9.08932442	6.36971366	6.36971366	5.17591594	5.17591594	3.78517093	3.78517093	2.40777557	2.40777557	3.34474333	3.34474333
20	12.1806529	8.73885334	8.12041461	8.12041461	12.69307182	12.69307182	7.03713289	7.03713289	4.4475639	4.4475639	2.89012895	2.89012895	1.7120893	1.7120893	2.6398454	2.6398454
24	10.87022492	7.47179862	11.10037102	11.10037102	13.95177774	13.95177774	7.73074608	7.73074608	3.17938738	3.17938738	2.37321352	2.37321352	1.3698233	1.3698233	1.12366919	1.12366919
28	8.47118125	8.47118124	17.38085948	17.38085948	14.42004065	14.42004065	5.40782716	5.40782716	2.11218083	2.11218083	0.67305773	0.67305773	0.70935339	0.70935339	0.56344482	1.08755422
39	4.18901257	4.18901257	5.62193116	5.62193116	10.14513912	10.14513912	8.78015207	8.78015207	6.99804151	6.99804151	5.25088986	5.25088986	3.61298486	3.61298486	2.02704152	8.77665618
41	4.17155762	4.17155762	5.75367459	5.75367459	4.20217924	4.20217924	6.04457997	6.04457997	8.46879147	8.46879147	7.24903032	7.24903032	5.47297642	5.47297642	2.52921813	14.74520261
57	12.62729919	4.79737554	8.68772972	8.68772972	7.81711748	7.81711748	8.91083373	8.91083373	7.61937998	7.61937998	5.22466677	5.22466677	2.03362195	2.03362195	0.99431301	0.99431301
58	9.91320539	5.9693111	7.54428882	7.54428882	9.97574447	9.97574447	8.19210191	8.19210191	6.66411278	6.66411278	4.57446515	4.57446515	2.67891142	2.67891142	2.42911721	2.42911721
61	15.62414238	12.67638067	12.13122729	12.13122729	12.42852752	12.42852752	5.02233172	5.02233172	2.66232105	2.66232105	2.10097063	2.10097063	0.9105309	0.9105309	0.59382935	0.59382935
68	21.15048646	9.03963476	6.26130729	6.26130729	6.90052743	6.90052743	6.33125292	6.33125292	4.05525994	4.05525994	1.87545993	1.87545993	1.44957634	1.44957634	8.03155554	8.03155554
69	11.2989332	8.03498284	9.34285942	9.34285942	14.39512322	14.39512322	10.5414578	10.5414578	4.49517204	4.49517204	1.184643	1.184643	0.25684506	0.25684506	0.11694144	0.11694144
71	11.67016602	8.62507576	10.48074676	10.48074676	9.88440952	9.88440952	8.06092681	8.06092681	5.31286559	5.31286559	2.63926843	2.63926843	1.2803854	1.2803854	2.19377659	2.19377659
74	10.96219598	8.40776068	9.71130435	9.71130435	10.06471244	10.06471244	8.5500309	8.5500309	5.15880045	5.15880045	3.25342697	3.25342697	1.9081481	1.9081481	1.66859846	1.66859846
78	8.88248991	7.4365099	16.10820551	16.10820551	16.09345227	16.09345227	4.66306517	4.66306517	2.29629813	2.29629813	1.04444327	1.04444327	1.15569284	1.15569284	0.4793429	0.4793429
97	11.09368582	7.45174309	12.85351172	12.85351172	15.85544638	15.85544638	6.2560636	6.2560636	4.10314618	4.10314618	1.27566131	1.27566131	0.38345635	0.38345635	0	0
99	17.02809054	14.17519204	13.36940855	13.36940855	8.33581568	8.33581568	6.71187829	6.71187829	3.89125905	3.89125905	0.83599884	0.83599884	0.83599884	0.83599884	0.41799945	0.41799945
103	26.55806509	25.82316897	16.94468738	16.94468738	6.86469559	6.86469559	0	0	0	0	0	0	0	0	0	0
108	4.577209185	4.577209185	18.96169972	18.96169972	9.268615133	9.268615133	9.268615133	9.268615133	2.312490595	2.312490595	2.312490595	2.312490595	1.6727593	1.6727593	1.626120336	1.626120336
111	2.70723747	6.91500045	15.73529368	19.55313712	16.32424036	10.60138934	3.75272276	3.30888222	2.63776208	2.63776208	2.63776208	2.63776208	2.63776208	2.63776208	2.63776208	2.63776208
128	8.07769085	5.03975832	7.79950642	7.79950642	14.01421015	14.01421015	12.66539556	12.66539556	6.55742061	6.55742061	1.84228727	1.84228727	0.36909898	0.36909898	0.19335643	0.19335643
129	6.2129528	5.94964046	5.18388728	5.18388728	9.67131773	9.67131773	5.37776469	5.37776469	3.84454025	3.84454025	4.92515652	4.92515652	6.86956024	6.86956024	8.04647665	8.04647665
130	14.63332781	4.93026106	10.77401668	10.77401668	12.53962953	12.53962953	9.01949674	9.01949674	4.48916019	4.48916019	1.9590973	1.9590973	1.43680513	1.43680513	0	0
161	5.24272548	4.21591528	11.62898838	11.62898838	14.11037557	14.11037557	9.96510683	9.96510683	5.10240346	5.10240346	1.78552224	1.78552224	1.78552209	1.78552209	0.89276105	0.89276105
162	9.53637915	7.82582685	8.52647858	8.52647858	7.69918111	7.69918111	6.39600416	6.39600416	5.38194347	5.38194347	5.17510256	5.17510256	3.76358688	3.76358688	4.37660023	4.37660023
165	34.23487305	34.23487304	9.43746623	9.43746623	1.17166397	1.17166397	1.22568882	1.22568882	0.98257699	0.98257699	0.98257699	0.98257699	0.98257699	0.98257699	0.98257699	0.98257699
174	6.77325623	4.30719715	11.79837063	11.79837063	10.05580322	10.05580322	10.44443883	10.44443883	7.50733441	7.50733441	2.92385334	2.92385334	0.85276648	0.85276648	0.8772064	0.8772064
177	32.17705644	26.16945532	10.72626387	10.72626387	7.49923228	7.49923228	2.2400462	2.2400462	0.36120177	0.36120177	0	0	0	0	0	0
183	11.99161399	8.72932746	8.01294802	8.01294802	9.94840065	9.94840065	7.69374528	7.69374528	5.34565776	5.34565776	8.63877756	8.63877756	0	0	0	0
184	9.29171731	5.17675989	7.47395475	5.47709658	4.35417394	2.8975972	6.64738985	4.21482697	7.27692377	2.66870706	2.90744593	4.17136103	3.40021843	3.52818972	6.68564967	23.82798792
202	14.51697339	9.14374226	4.68381617	4.68381617	7.68944719	7.68944719	10.58256536	10.58256536	9.23087545	9.23087545	4.39334366	4.39334366	1.03623461	1.03623461	0.55335973	0.55335973
203	3.33984758	2.28390209	2.6860071	2.6860071	7.02627941	7.02627941	9.33926645	9.33926645	9.80797471	9.80797471	9.27806864	9.27806864	5.69719788	5.69719788	3.35333097	3.35333097
204	12.68814925	9.91201913	10.61306546	10.61306546	7.92173609	7.92173609	5.3730503	5.3730503	4.53985641	4.53985641	3.84793256	3.84793256	3.20211213	3.20211213	3.20216287	3.20216287
219	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25	6.25
224	2.211655424	5.971469645	9.991153378	9.991153378	14.79044565	14.79044565	11.75494858	11.75494858	5.706070994	5.706070994	2.128718346	2.128718346	0.829370784	0.829370784	0.141545952	1.27391352
227	12.46589871	12.46589871	8.57967651	8.57967651	8.5781623	8.5781623	6.72577767	6.72577767	5.08437309	5.08437309	3.6648004	3.6648004	2.65557886	2.65557886	1.57241335	2.91905155
