x	y	landarea	country	npp	potveg	popdens2000	popdens2010	popdens2020	popdens2030	popdens2040	popdens2050	popdens2060	popdens2070	popdens2080	popdens2090	popdens2100	spopdens2000	spopdens2010	spopdens2020	spopdens2030	spopdens2040	spopdens2050	spopdens2060	spopdens2070	spopdens2080	spopdens2090	spopdens2100	sagrsuit	agrsuit	priceindex	biomass	forest	r	gdp2000	gdp2010	gdp2020	gdp2030	gdp2040	gdp2050	gdp2060	gdp2070	gdp2080	gdp2090	gdp2100	builtup2010	builtup2020	builtup2030	builtup2040	builtup2050	builtup2060	builtup2070	builtup2080	crop2010	crop2020	crop2030	crop2040	crop2050	crop2060	crop2070	crop2080	protect	used	fraclongprod	corruption	slashburn	iiasa_region	biomassbl	decherb	decwood	decsoc	caboveha	cbelowha	cdeadha	clitterha	socha	polesreg	ftimber	maie	main	managedshare	managedflag	harvestcosts	simuid	crop2000	builtup2000	countryregmix	road	forloss	globiom_reserved	speciestype	countryregmix_old	afformax
25.75	49.75	1997	224	0.237540781	8	45	40	34	27	22	18	16	14	13	12	12	5.05	4.6	4.06	3.43	2.98	2.62	2.44	2.26	2.17	2.08	2.08	10	0.765882877	0.704519119	71.70532909	0.088392427	0.14	0.378044	0.4760596	0.6263701	0.9056144	1.483617	2.346807	3.115516	3.717024	4.117289	4.474258	4.85616	0.000375846	0.000365467	0.000352577	0.000342923	0.000335088	0.000331137	0.000327169	0.000325176	0.006595271	0.006589124	0.006590437	0.00658839	0.006578266	0.006570117	0.006579401	0.006590488	0	1	0.44939271	0.64166667	0.1	5	34.451	0.304305042	0.164782684	0.00304305	63.06908613	17.225507	12.354846	15.169593	169.783384	10	4	1.861380305	1.1110767070000001	0.99758199999999997	1	108.514	58013	0.00659526978	0.000375845993	29	0.25688532800000002	5.13e-006	0.61617624999999998	7	32	0.00329218
25.25	50.25	1976	224	0.232232811	4	33	29	25	20	16	13	12	10	9	9	9	3.97	3.61	3.25	2.8	2.44	2.17	2.08	1.9	1.81	1.81	1.81	10	0.597388613	0.704519119	71.24659193	0.234855112	0.14	0.2774965	0.3494726	0.4597931	0.6649215	1.089476	1.722657	2.286431	2.728909	3.022282	3.28204	3.56282	0.01816988	0.01701756	0.01550658	0.0143023	0.01338739	0.01306933	0.01240835	0.01206404	0.5655324	0.564993	0.5651884	0.5650089	0.5641217	0.5634077	0.5647841	0.5664255	0	1	0.44939271	0.64166667	0.1	5	34.5294	0.305572241	0.165407563	0.003055722	63.2124972	17.264676	12.38294	14.819868	173.866281	10	4	1.8283512850000001	1.0913609790000001	0.99897199999999997	1	106.154	57292	0.565532029	0.0181699004	29	0.22570850200000001	0.00017327099999999999	0.199612502	7	32	0.0000327
25.75	50.25	1976	224	0.226558775	4	32	28	24	19	16	13	11	10	9	9	8	3.88	3.52	3.16	2.71	2.44	2.17	1.99	1.9	1.81	1.81	1.72	10	0.765882877	0.704519119	71.37427053	0.258041775	0.14	0.2693605	0.3392947	0.4464313	0.6453959	1.057152	1.671608	2.218292	2.648052	2.934183	3.188912	3.461388	0.02779763	0.02685637	0.02563807	0.02490606	0.02416402	0.02365232	0.02339131	0.02312686	0.5467756	0.5462818	0.5464683	0.5463039	0.5454914	0.5448378	0.5461497	0.547714	0	1	0.44939271	0.64166667	0.1	5	33.5017	0.301975986	0.163630542	0.00301976	61.33122205	16.75086	12.01441	14.554099	170.138682	10	4	1.813434242	1.0824571009999999	0.995726	1	107.8784	57293	0.546775997	0.0277976003	29	0.24848178100000001	0.000115201	0.19518264499999999	7	32	0.0000327
24.75	50.75	1956	224	0.225936462	4	22	20	17	13	11	9	8	7	6	6	6	2.98	2.8	2.53	2.17	1.99	1.81	1.72	1.63	1.54	1.54	1.54	10	0.765882877	0.704519119	60.53794515	0.169127419	0.14	0.1906094	0.2400384	0.315836	0.4567888	0.748669	1.183565	1.571592	1.875367	2.077474	2.255947	2.450627	0.000129386	0.000118214	0.000101442	0.0000925	0.0000828	0.0000779	0.0000729	0.0000677	0.006802722	0.006796245	0.006797129	0.006794975	0.006784325	0.006775754	0.006782031	0.006789533	0	1	0.44939271	0.64166667	0.1	5	33.4587	0.308310357	0.166752885	0.003083104	61.25241972	16.729337	11.998973	14.51769	170.227976	10	4	1.807573189	1.0789591489999999	0.98744399999999999	1	105.8232	56571	0.00680272002	0.000129385997	29	0.160531697	9.1899999999999998e-005	0.79624528100000003	5	32	0.0000327
26.25	51.75	1914	224	0.215979443	4	18	16	13	11	9	7	6	5	5	5	4	2.62	2.44	2.17	1.99	1.81	1.63	1.54	1.45	1.45	1.45	1.36	7.617228425	0.367623801	0.704519119	59.74295551	0.577703535	0.14	0.1515303	0.1908834	0.2511637	0.3629909	0.5949023	0.9407647	1.247974	1.490648	1.652979	1.798336	1.951172	0.000104325	0.0000921	0.0000831	0.0000738	0.0000640	0.0000589	0.0000536	0.0000536	0.002736558	0.002733099	0.002734331	0.002733182	0.002727504	0.002722945	0.00273157	0.002741868	0	1	0.44939271	0.64166667	0.1	5	33.1999	0.316051061	0.170518236	0.003160511	60.77877396	16.599974	11.906188	13.877364	174.488581	10	4	1.7958510809999999	1.0719632450000001	0.95323199999999997	1	103.661	55134	0.00273656007	0.000104325001	29	0.13688610200000001	0.0012089889999999999	0.41253454299999998	7	32	0
25.75	51.75	1914	224	0.227473942	4	15	14	11	9	7	6	5	5	4	4	4	2.35	2.26	1.99	1.81	1.63	1.54	1.45	1.45	1.36	1.36	1.36	6.634	0.313	0.704519119	56.51011269	0.579291359	0.14	0.1322939	0.1666178	0.2192699	0.3169357	0.5193765	0.8208431	1.090023	1.300664	1.44067	1.565165	1.699091	0.000132385	0.000122031	0.000114805	0.000107561	0.000103945	0.000100246	0.000100246	0.0000964	0.002711281	0.002708434	0.002709584	0.002708637	0.002703954	0.00270019	0.002708248	0.002717873	1	1	0.44939271	0.64166667	0.1	5	34.0762	0.314842489	0.169934165	0.003148425	62.38298314	17.038118	12.220443	14.554122	173.658319	10	4	1.77826792	1.0614693900000001	0.98290599999999995	1	103.9415	55133	0.00271128002	0.000132385001	29	0.16771159899999999	0.0013510670000000001	0.41799735999999998	3	32	0.0000327
24.25	51.25	1935	224	0.227144482	4	16	14	12	10	8	6	6	5	4	4	4	2.44	2.26	2.08	1.9	1.72	1.54	1.54	1.45	1.36	1.36	1.36	10	0.805158904	0.704519119	48.53975082	0.407627217	0.14	0.1385449	0.1745186	0.2296194	0.3320794	0.5440288	0.8609769	1.143107	1.364954	1.512463	1.643238	1.784188	0.0125735	0.0118802	0.01119572	0.01048472	0.009706352	0.009706352	0.009285288	0.008847835	0.4323231	0.4319738	0.4321109	0.4319946	0.4314192	0.4309558	0.4319184	0.4330677	0	1	0.44939271	0.64166667	0.1	5	33.9753	0.309486786	0.167328804	0.003094868	62.19811323	16.987626	12.184228	14.542937	173.145347	10	4	1.774004334	1.058925425	0.98832500000000001	1	104.6296	55850	0.432323009	0.0125735002	29	0.14521963800000001	0.00089040500000000004	0.160049685	5	32	0.0000327
23.25	49.25	2018	224	0.244056771	5	36	32	27	22	18	15	13	11	10	10	9	4.24	3.88	3.43	2.98	2.62	2.35	2.17	1.99	1.9	1.9	1.81	5.549344349	0.252741353	0.704519119	43.74340876	0.706256249	0.14	0.3040594	0.3828949	0.5038122	0.7284174	1.193446	1.887636	2.505418	2.99021	3.313184	3.602285	3.909514	0.01852444	0.01736075	0.01618051	0.0152061	0.01444337	0.0139393	0.01343184	0.01317247	0.224266	0.224019	0.2240656	0.2239838	0.2235797	0.2232555	0.223583	0.2239751	0	1	0.44939271	0.64166667	0.1	5	35.5044	0.340950791	0.182198784	0.003409508	64.99746624	17.752189	12.732604	15.48479	173.097434	10	4	1.7516287699999999	1.045569609	0.99973400000000001	1	119.5764	58728	0.224265993	0.0185244009	29	0.17740337	0.00089944199999999997	0.069477759	6	32	0.003430885
22.75	48.25	2058	224	0.223337387	5	91	81	68	55	45	38	33	29	27	25	24	9.19	8.29	7.12	5.95	5.05	4.42	3.97	3.61	3.43	3.25	3.16	10	0.597388613	0.704519119	62.15671399	0.222645878	0.14	0.7585844	0.9552891	1.25689	1.817203	2.977173	4.707625	6.250306	7.456816	8.258925	8.976525	9.741625	0.04439057	0.04216383	0.03982139	0.03799685	0.0366653	0.03569883	0.03494355	0.03456488	0.6104208	0.6098114	0.6098972	0.6096952	0.6086976	0.6078963	0.6085014	0.6092236	0	1	0.44939271	0.64166667	0.1	5	32.3039	0.37615928	0.197372706	0.003761593	59.13834326	16.151938	11.584838	14.470659	163.692934	10	4	1.707858157	1.223329162	0.99134100000000003	1	111.2977	60167	0.610421002	0.0443906002	29	0.18075801699999999	9.9400000000000004e-005	0.16693329900000001	7	32	0.011420585
23.25	48.25	2058	224	0.219127618	5	180	170	164	157	147	135	128	122	117	115	115	10	10	10	10	10	10	10	10	10	10	10	9.312735959	0.461818664	0.704519119	62.78277599	0.560480843	0.14	2.099663	2.736639	4.022385	6.649976	10	10	10	10	10	10	10	0.03449051	0.03335624	0.03195361	0.02993068	0.02739377	0.02577843	0.02430185	0.0230485	0.2426612	0.2424858	0.242604	0.2425458	0.2422589	0.2420286	0.2428568	0.2438453	0	1	0.44939271	0.64166667	0.1	5	32.3587	0.474554366	0.233193623	0.004745544	59.23871074	16.17935	11.604499	14.186239	166.732548	10	4	1.7003115	1.2179232360000001	0.97590900000000003	1	120.6099	60168	0.242660999	0.0344904996	29	0.169582119	0.00046793900000000001	0.196857964	6	32	0.003403693
