region/year	2000	2010	2020	2030	2040	2050
ANZ	143	164.61025	186.6613007	207.7037908	220.9271854	213.2539033
BrazilReg	54	65.36518	77.1275794	83.49645952	80.41977171	75.08801297
CanadaReg	252	280.35859	308.4717659	335.7173284	353.7299497	348.170705
ChinaReg	97	128.33022	159.514948	165.414204	160.4236938	155.4163611
EU_Baltic	131	153.30553	150.3960163	185.6350473	180.2700132	170.4563353
EU_CentralEast	115	143.5798	156.2515315	158.1461458	148.2001469	160.1916499
EU_MidWest	451	484.93433	517.6424366	512.442197	486.4898276	497.7805542
EU_North	449	472.58353	498.6990023	493.7637238	468.7994452	473.4964891
EU_South	466	486.70003	504.3583385	513.2257132	522.0833141	531.1692021
Former_USSR	131	165.75942	199.0281507	223.483129	247.878293	254.7487925
IndiaReg	74	94.39023	115.5600806	131.4884912	144.7812357	155.1552936
JapanReg	143	151.28945	159.0993734	161.2550106	165.9534142	163.37998
MexicoReg	54	57.58828	61.32989172	89.19020008	71.66032835	66.07425277
MidEastNorthAfr	109	135.30902	160.9817821	169.9679389	163.1707457	179.6271094
Pacific_Islands	128	128.79477	129.6231338	129.76202	129.7020623	129.7838543
RCAM	54	71.87549	88.51355141	98.17341111	83.1305716	74.41542664
RCEU	113	129.2594	147.0231293	161.9006698	183.1369855	185.100724
ROWE	445	479.70911	497.5370988	540.6241294	527.7623811	508.0462427
RSAM	54	65.27222	76.41527036	84.18273197	79.22607715	74.29646233
RSAS	74	92.63095	110.4860709	100.533306	112.3085664	167.4250251
RSEA_OPA	128	161.95616	194.4065121	210.5790594	208.8982755	218.6105721
RSEA_PAC	97	109.02628	121.016083	126.2072429	128.6578922	136.0138422
SouthAfrReg	81	102.34485	123.7669471	156.4846089	172.5267964	189.2669662
SouthKorea	128	137.42505	147.2522712	137.3586563	128.4460644	128.6112952
SubSaharanAfr	81	92.65069	104.3684182	108.9987599	111.9697438	122.1191054
TurkeyReg	445	482.92207	520.8057612	533.1993097	557.7446577	577.738882
USAReg	252	278.97739	305.0561538	311.7751921	313.6707998	312.8579531
Ukraine	131	165.75942	199.0281507	223.483129	247.878293	254.7487925
