region/year	2000	2010	2020	2030
ANZ	161	161	403.88	475.94
BrazilReg	69.4	69.5	178.24	207.66
CanadaReg	273	273	279.45	337.72
ChinaReg	112.5	112.6	413.93	526.85
EU_Baltic	232.5	235.5	336.88	399.60
EU_CentralEast	176.3	187.6	480.76	509.43
EU_MidWest	521.9	589.6	939.75	1120.47
EU_North	459.2	459.3	914.82	1094.21
EU_South	575.4	575.4	708.10	787.37
Former_USSR	155.4	155.5	216.90	252.47
IndiaReg	101.4	101.8	231.43	326.17
JapanReg	804.4	807.6	428.19	521.50
MexicoReg	69.1	72.8	152.06	171.25
MidEastNorthAfr	130.6	135.1	299.14	394.60
Pacific_Islands	173.2	173.2	188.66	188.39
RCAM	82.7	88.7	151.34	171.74
RCEU	144.1	144.1	445.00	530.21
ROWE	483.3	483.9	1032.64	1183.17
RSAM	84.9	86	183.63	220.04
RSAS	87.3	91.2	333.05	394.60
RSEA_OPA	156.4	162.4	262.18	328.86
RSEA_PAC	126.7	127.6	343.69	428.71
SouthAfrReg	96.3	104.4	263.29	374.60
SouthKorea	857.5	856.3	425.72	496.17
SubSaharanAfr	111	120.1	277.97	355.18
TurkeyReg	454	455.7	564.54	612.01
USAReg	320.3	320.3	448.07	539.61
