Region/price	2000	2010	2020	2030	2040	2050
ANZ 	33.616156	42.470844	54.35	56.95	58.10	58.61
BrazilReg 	20.029408	21.01258	21.48	22.55	25.35	27.33
CanadaReg 	15.142771	31.65287	47.72	57.72	61.43	62.52
ChinaReg 	39.802664	58.117469	76.38	82.67	87.73	101.98
EU_Baltic 	21.565058	21.294179	27.00	29.96	33.01	31.88
EU_CentralEast 	39.500406	43.741504	50.44	50.53	50.96	51.99
EU_MidWest 	33.814255	39.094732	45.31	48.61	53.22	56.05
EU_North 	36.392571	38.37966	41.03	38.98	41.34	40.91
EU_South 	35.277092	37.073398	38.90	40.42	41.41	42.74
Former_USSR 	11.978886	19.731845	27.86	29.21	34.77	50.64
IndiaReg 	1.304371	5.012588	8.71	39.40	85.94	121.86
JapanReg 	56.233568	60.890688	55.49	53.10	53.10	51.36
MexicoReg 	8.650374	17.643199	22.04	32.41	38.16	43.55
MidEastNorthAfr 	2.065249	3.125849	3.74	7.79	12.82	18.12
Pacific_Islands 	7.105007	12.277789	13.28	20.16	23.75	27.54
RCAM 	4.221913	6.137486	7.87	15.13	22.52	33.47
RCEU 	23.95452	33.268305	38.04	38.52	40.06	42.51
ROWE 	36.886157	46.204081	55.53	55.72	53.66	57.17
RSAM 	21.384344	23.884621	24.89	26.92	29.23	45.23
RSAS 	0.873955	2.34678	3.65	18.78	47.27	81.65
RSEA_OPA 	10.18441	16.458764	22.62	29.60	34.88	46.63
RSEA_PAC 	4.855441	7.966984	10.60	14.39	19.04	51.15
SouthAfrReg 	14.520278	19.19902	24.19	27.39	30.32	32.26
SouthKorea 	45.275142	47.625362	51.46	57.87	60.53	53.61
SubSaharanAfr 	0.359188	0.847363	1.91	2.51	3.14	4.00
TurkeyReg 	42.075253	46.43637	55.72	59.44	60.93	66.46
USAReg 	45.555726	55.806636	66.01	68.72	72.96	75.51
Ukraine	11.978886	19.731845	27.86	29.21	34.77	50.64
