Region/price	2000	2010	2020	2030
ANZ 	40	50.2	 54.14 	 59.18 
BrazilReg 	21.6	30.3	 52.07 	 57.24 
CanadaReg 	18.4	42.7	 55.75 	 56.21 
ChinaReg 	40.4	50.5	 92.16 	 96.82 
EU_Baltic 	24.4	31.5	 36.47 	 47.07 
EU_CentralEast 	52.7	59.9	 67.66 	 72.65 
EU_MidWest 	48.4	56.4	 70.84 	 75.87 
EU_North 	54	63	 62.94 	 70.62 
EU_South 	49.1	55.7	 52.77 	 60.37 
Former_USSR 	14.4	28.5	 51.26 	 70.27 
IndiaReg 	48.3	67	 102.22 	 117.72 
JapanReg 	59.9	71.7	 68.65 	 65.82 
MexicoReg 	8.2	12.9	 42.32 	 58.16 
MidEastNorthAfr 	2.2	4.3	 78.88 	 93.31 
Pacific_Islands 	41.1	45.4	 39.79 	 42.03 
RCAM 	3.9	12.2	 43.90 	 45.44 
RCEU 	38.9	48.7	 51.32 	 63.54 
ROWE 	37.7	53.5	 54.89 	 62.17 
RSAM 	23.1	31.9	 54.40 	 58.62 
RSAS 	47.1	58.9	 96.43 	 104.24 
RSEA_OPA 	11	36.7	 56.33 	 68.80 
RSEA_PAC 	5.3	33.3	 52.67 	 67.42 
SouthAfrReg 	16.5	30.7	 56.95 	 62.09 
SouthKorea 	46.4	55	 87.49 	 91.02 
SubSaharanAfr 	0.4	23.2	 35.07 	 35.87 
TurkeyReg 	44.3	54.1	 53.20 	 63.40 
USAReg 	39.8	58.4	 63.33 	 77.61 
