Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2020	2030	2040	2050
Austria	19000000	13900000	14800000	14800000	17400000	16700000	18100000	17800000	17000000	17000000	16000000	16300000	17900000	20600000	19900000	19900000	23100000	25800000	25800000	25800000	25800000	21429000	26831000	28240000	32737000
Belgium	3227000	3227000	3227000	3227000	3227000	3227000	3227000	3227000	3227000	3232000	2782000	3157000	4889000	4579000	4426000	4121000	3663000	3731000	3731000	3731000	3731000	5390000	5765000	6187000	6399000
Bulgaria	4672000	4170000	4054000	4054000	3064000	3243000	3658000	3472000	3691000	4966000	5457000	4552000	5514000	5514000	6826000	6680000	6832000	6494000	6919000	5253000	6464000	6414000	6924000	7091000	7583000
Croatia	2278000	2278000	2278000	2809000	3227000	2984000	2913000	3495000	3894000	3994000	4203000	3971000	4172000	4408000	4400000	4602000	5098000	4822000	5120000	4860000	5130000	6629000	6914000	6946000	7538000
Cyprus	71000	61000	51000	60000	52000	54000	51000	46000	40000	41000	23000	21000	17000	13000	11000	11000	8000	22000	22000	11000	10000	48000	53000	59000	75000
Czech_Republic	14569000	11749000	10766000	11374000	13075000	13744000	13766000	14778000	15343000	15590000	15854000	15779000	15984000	16663000	17154000	17074000	19465000	20381000	20381000	20381000	20381000	19563000	20697000	21830000	23469000
Denmark	2553000	2615000	2523000	2583000	2584000	2584000	2584000	2409000	1765000	1767000	3330000	1824000	1635000	1839000	1714000	3340000	2661000	2895000	3147000	3178000	3016000	2937000	3122000	3137000	3270000
Estonia	0	0	2436000	2768000	4034000	4216000	4434000	6118000	6868000	7599000	10090000	11551000	11890000	11891000	7705000	6231000	6123000	5102000	5511000	6123000	8165000	10765000	10765000	10765000	10765000
Finland	48870000	39368000	45145000	47700000	55026000	56713000	52593000	58838000	60969000	60938000	61500000	59363000	60271000	61142000	61163000	58684000	56935000	63854000	59137000	59137000	59137000	70935000	75020000	80153000	83264000
France	68128000	68822000	68688000	64551000	65625000	65773000	62623000	62903000	62314000	61729000	70522000	64320000	59300000	56980000	57269000	56832000	57622000	58786000	58786000	58786000	58786000	104884000	106792000	106792000	106792000
Germany	0	45646000	49480000	51314000	53530000	54535000	54988000	57971000	58608000	58426000	74989000	58816000	60711000	65762000	73925000	82947000	87117000	96123000	96123000	96123000	96123000	84371000	88254000	93478000	102813000
Greece	1171000	1171000	1171000	1171000	1171000	1171000	1171000	1171000	1171000	1477000	1298000	1264000	1155000	1293000	1271000	1352000	1307000	1320000	1314000	1314000	1314000	1593000	1593000	1715000	1880000
Hungary	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6957000	6992000	6992000	6992000	6992000	6992000	6992000	7792000	8017000	8227000	8751000
Ireland	1787000	1837000	2156000	2003000	2220000	2424000	2520000	2398000	2493000	2842000	2940000	2700000	2911000	2951000	2818000	2913000	2938000	2981000	2981000	2981000	2981000	3548000	3548000	3802000	4692000
Italy	12720000	12720000	12720000	12720000	12720000	12720000	12720000	12720000	12720000	12720000	12720000	12322000	12322000	12322000	12322000	12322000	12322000	12322000	12322000	12322000	12322000	14260000	14871000	15005000	16002000
Latvia	5000000	4400000	4000000	4800000	5700000	6900000	6800000	8900000	10000000	10800000	11000000	11200000	12200000	11700000	11500000	11300000	9810000	10010000	10010000	10010000	10010000	12364000	12364000	12364000	12486000
Lithuania	3571000	3571000	3571000	5089000	4512000	6732000	6255000	5837000	5549000	5601000	6247000	6476000	6942000	7120000	6945000	6859000	6670000	7031000	6360000	6205000	8059000	6888000	6888000	6906000	6906000
Luxembourg	295000	295000	295000	295000	295000	295000	295000	295000	295000	295000	295000	307000	292000	292000	315000	283000	304000	332000	403000	312000	313000	338000	338000	383000	421000
Malta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	1607000	1272000	1419000	1219000	1183000	1251000	1079000	1257000	1159000	1183000	1178000	980000	951000	1185000	1164000	1259000	1255000	1160000	1268000	1154000	1210000	1225000	1225000	1225000	1251000
Poland	19894000	19242000	21222000	21003000	21220000	22994000	22930000	24564000	26124000	27439000	29409000	28288000	30680000	34878000	37017000	36123000	36618000	40600000	38737000	39145000	40082000	38963000	41123000	42429000	52109000
Portugal	14689000	14116000	13438000	13352000	12870000	12310000	11840000	11854000	11312000	11840000	11457000	11784000	11483000	12606000	14120000	13912000	14018000	14031000	14031000	14031000	14031000	12857000	13423000	13386000	13729000
